Rechnung,Artikelnummer,Artikelbeschreibung,Menge,Rechnungsdatum,Preis,Kundennummer,Land
489434,85048,15cm Weihnachtsglaskugel 20 Lichter ,12,2009-12-01 07:45:00,6.95,13085.0,Vereinigtes Königreich 
489434,79323P,Rosa Kirschlichter ,12,2009-12-01 07:45:00,6.75,13085.0,Vereinigtes Königreich 
489434,79323W,Weiße Kirschleuchten ,12,2009-12-01 07:45:00,6.75,13085.0,Vereinigtes Königreich 
489434,22041,"Rekordrahmen 7 ""Einzelgröße ",48,2009-12-01 07:45:00,2.1,13085.0,Vereinigtes Königreich 
489434,21232,Erdbeer-Keramik-Schmuckkasten ,24,2009-12-01 07:45:00,1.25,13085.0,Vereinigtes Königreich 
489434,22064,Rosa Donut Trinket Pot ,24,2009-12-01 07:45:00,1.65,13085.0,Vereinigtes Königreich 
489434,21871,Speichern Sie den Planet-Becher ,24,2009-12-01 07:45:00,1.25,13085.0,Vereinigtes Königreich 
489434,21523,Fancy Font Home Sweet Home Pooratat ,10,2009-12-01 07:45:00,5.95,13085.0,Vereinigtes Königreich 
489435,22350,Katzenschale ,12,2009-12-01 07:46:00,2.55,13085.0,Vereinigtes Königreich 
489435,22349,"Hundeschale, Kugeldesign ",12,2009-12-01 07:46:00,3.75,13085.0,Vereinigtes Königreich 
489435,22195,Herzmesslöffel groß ,24,2009-12-01 07:46:00,1.65,13085.0,Vereinigtes Königreich 
489435,22353,Lunchbox mit Besteck-Feekuchen ,12,2009-12-01 07:46:00,2.55,13085.0,Vereinigtes Königreich 
489436,48173C,Türmatte schwarze Herde ,10,2009-12-01 09:06:00,5.95,13078.0,Vereinigtes Königreich 
489436,21755,Love Building Block Word ,18,2009-12-01 09:06:00,5.45,13078.0,Vereinigtes Königreich 
489436,21754,Home Building Block Word ,3,2009-12-01 09:06:00,5.95,13078.0,Vereinigtes Königreich 
489436,84879,Sortierte Farbvogelverzierung ,16,2009-12-01 09:06:00,1.69,13078.0,Vereinigtes Königreich 
489436,22119,Peace Hölzerne Blockbuchstaben ,3,2009-12-01 09:06:00,6.95,13078.0,Vereinigtes Königreich 
489436,22142,Weihnachtshandwerk weiße Fee ,12,2009-12-01 09:06:00,1.45,13078.0,Vereinigtes Königreich 
489436,22296,Herz Elfenbein Trellis groß ,12,2009-12-01 09:06:00,1.65,13078.0,Vereinigtes Königreich 
489436,22295,Herz filigrane Taube groß ,12,2009-12-01 09:06:00,1.65,13078.0,Vereinigtes Königreich 
489436,22109,Volle englische Frühstücksplatte ,16,2009-12-01 09:06:00,3.39,13078.0,Vereinigtes Königreich 
489436,22107,Pizza-Platte in Kasten ,4,2009-12-01 09:06:00,3.75,13078.0,Vereinigtes Königreich 
489436,22194,Schwarze Diner Wanduhr ,2,2009-12-01 09:06:00,8.5,13078.0,Vereinigtes Königreich 
489436,35004B,Satz von 3 schwarzen fliegenden Enten ,12,2009-12-01 09:06:00,4.65,13078.0,Vereinigtes Königreich 
489436,82582,Bereich patrouilliert Metallzeichen ,12,2009-12-01 09:06:00,2.1,13078.0,Vereinigtes Königreich 
489436,21181,Bitte ein Person Metallzeichen ,12,2009-12-01 09:06:00,2.1,13078.0,Vereinigtes Königreich 
489436,21756,Bad Bausteinwort ,3,2009-12-01 09:06:00,5.95,13078.0,Vereinigtes Königreich 
489436,21333,Klassischer weißer Rahmen. ,6,2009-12-01 09:06:00,2.95,13078.0,Vereinigtes Königreich 
489436,84596F,Kleine Marshmallows rosa Schüssel ,8,2009-12-01 09:06:00,1.25,13078.0,Vereinigtes Königreich 
489436,84596L,Kekse kleine Schüssel hellblau ,8,2009-12-01 09:06:00,1.25,13078.0,Vereinigtes Königreich 
489436,22111,Scottie Dog Heißwasserflasche ,24,2009-12-01 09:06:00,4.25,13078.0,Vereinigtes Königreich 
489437,22143,Weihnachtshandwerk Herzdekorationen ,6,2009-12-01 09:08:00,2.1,15362.0,Vereinigtes Königreich 
489437,22145,Weihnachtshandwerk Herzstrumpf ,6,2009-12-01 09:08:00,2.1,15362.0,Vereinigtes Königreich 
489437,22130,Party Cone Christmas Decoration ,12,2009-12-01 09:08:00,0.85,15362.0,Vereinigtes Königreich 
489437,21364,Frieden kleine hölzerne Buchstaben ,2,2009-12-01 09:08:00,6.75,15362.0,Vereinigtes Königreich 
489437,21360,Freude große hölzerne Buchstaben ,1,2009-12-01 09:08:00,9.95,15362.0,Vereinigtes Königreich 
489437,21351,Zimt- und orangefarbener Kranz ,2,2009-12-01 09:08:00,6.75,15362.0,Vereinigtes Königreich 
489437,21352,Eukalyptus & Pinecone Kranz ,2,2009-12-01 09:08:00,6.75,15362.0,Vereinigtes Königreich 
489437,35400,Holzkiste Adventskalender ,2,2009-12-01 09:08:00,8.95,15362.0,Vereinigtes Königreich 
489437,20695,Blumenblaues Monster ,3,2009-12-01 09:08:00,4.25,15362.0,Vereinigtes Königreich 
