"fakt_anzahl_artikel","fakt_preis_artikel","artikelbeschreibung","name_land","datum"
1.00,2.10,"12 ASS ZINC CHRISTMAS DECORATIONEN",Vereinigtes Königreich,2009-12-01
3.00,6.30,"12 ASS ZINC CHRISTMAS DECORATIONEN",Vereinigtes Königreich,2009-12-02
24.00,50.40,"12 ASS ZINC CHRISTMAS DECORATIONEN",Vereinigtes Königreich,2009-12-03
1.00,2.10,"12 ASS ZINC CHRISTMAS DECORATIONEN",Vereinigtes Königreich,2009-12-04
12.00,25.20,"12 ASS ZINC CHRISTMAS DECORATIONEN",Vereinigtes Königreich,2009-12-05
12.00,19.80,"12 DAISY PEGS IN WOOD BOX",Vereinigtes Königreich,2009-12-02
1.00,1.65,"12 DAISY PEGS IN WOOD BOX",Vereinigtes Königreich,2009-12-04
1.00,1.65,"12 DAISY PEGS IN WOOD BOX",Vereinigtes Königreich,2009-12-06
4.00,51.00,"12 EGG-HAUS GEZEICHNETES WOHL",Irland,2009-12-01
4.00,51.00,"12 EGG-HAUS GEZEICHNETES WOHL",Vereinigtes Königreich,2009-12-01
1.00,12.75,"12 EGG-HAUS GEZEICHNETES WOHL",Vereinigtes Königreich,2009-12-04
1.00,1.25,"12 MINI TOADSTOL PEGS",Vereinigtes Königreich,2009-12-01
16.00,20.00,"12 MINI TOADSTOL PEGS",Vereinigtes Königreich,2009-12-02
36.00,45.00,"12 MINI TOADSTOL PEGS",Vereinigtes Königreich,2009-12-03
12.00,15.00,"12 MINI TOADSTOL PEGS",Vereinigtes Königreich,2009-12-04
1.00,1.25,"12 MINI TOADSTOL PEGS",Vereinigtes Königreich,2009-12-06
13.00,11.05,"12 PENCILS ALLE STÜCKSTOFFE",Vereinigtes Königreich,2009-12-01
26.00,22.10,"12 PENCILS ALLE STÜCKSTÜCKSTÜCKE",Vereinigtes Königreich,2009-12-01
23.00,19.55,"12 PENCILS ALLE STÜCKSTÜCKSTÜCKE",Vereinigtes Königreich,2009-12-02
28.00,23.80,"12 PENCILS ALLE STÜCKSTÜCKSTÜCKE",Vereinigtes Königreich,2009-12-03
79.00,67.15,"12 PENCILS ALLE STÜCKSTÜCKSTÜCKE",Vereinigtes Königreich,2009-12-04
12.00,10.20,"12 PENCILS ALLE STÜCKSTÜCKSTÜCKE",Vereinigtes Königreich,2009-12-05
12.00,10.20,"12 PENCILS ALLE TÜBE RED SPOTTY",Frankreich,2009-12-02
12.00,10.20,"12 PENCILS ALLE TÜBE RED SPOTTY",Frankreich,2009-12-06
12.00,10.20,"12 PENCILS ALLE TÜBE RED SPOTTY",Portugal,2009-12-01
14.00,11.90,"12 PENCILS ALLE TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-01
25.00,21.25,"12 PENCILS ALLE TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-02
63.00,53.55,"12 PENCILS ALLE TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-03
79.00,67.15,"12 PENCILS ALLE TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-04
12.00,10.20,"12 PENCILS ALLE TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-05
25.00,16.25,"12 PENCILS KLEINE STÜCKSTÜCK",Vereinigtes Königreich,2009-12-02
24.00,15.60,"12 PENCILS KLEINE STÜCKSTÜCK",Vereinigtes Königreich,2009-12-03
1.00,0.65,"12 PENCILS KLEINE STÜCKSTÜCK",Vereinigtes Königreich,2009-12-04
44.00,28.60,"12 PENCILS SMALL TUBE RED SPOTTY",Vereinigtes Königreich,2009-12-01
77.00,50.05,"12 PENCILS SMALL TUBE RED SPOTTY",Vereinigtes Königreich,2009-12-02
32.00,20.80,"12 PENCILS SMALL TUBE RED SPOTTY",Vereinigtes Königreich,2009-12-03
78.00,50.70,"12 PENCILS SMALL TUBE RED SPOTTY",Vereinigtes Königreich,2009-12-04
3.00,1.95,"12 PENCILS SMALL TUBE SKULL",Vereinigtes Königreich,2009-12-01
36.00,23.40,"12 PENCILS SMALL TUBE SKULL",Vereinigtes Königreich,2009-12-02
31.00,20.15,"12 PENCILS SMALL TUBE SKULL",Vereinigtes Königreich,2009-12-03
31.00,20.15,"12 PENCILS SMALL TUBE SKULL",Vereinigtes Königreich,2009-12-04
12.00,10.20,"12 PENZILIEN GEGENÜBER TUBE WOODLAND",Frankreich,2009-12-02
12.00,10.20,"12 PENZILIEN GEGENÜBER TUBE WOODLAND",Frankreich,2009-12-06
1.00,0.85,"12 PENZILIEN GEGENÜBER TUBE WOODLAND",Vereinigtes Königreich,2009-12-01
9.00,7.65,"12 PENZILIEN GEGENÜBER TUBE WOODLAND",Vereinigtes Königreich,2009-12-02
12.00,10.20,"12 PENZILIEN GEGENÜBER TUBE WOODLAND",Vereinigtes Königreich,2009-12-03
24.00,20.40,"12 PENZILIEN GEGENÜBER TUBE WOODLAND",Vereinigtes Königreich,2009-12-04
1.00,1.25,"12 PINK ROSE PEG PLATZBESCHEINIGUNGEN",Vereinigtes Königreich,2009-12-04
12.00,15.00,"12 RED ROSE PEG PLATZBESCHEINIGUNGEN",Niederlande,2009-12-04
4.00,5.00,"12 RED ROSE PEG PLATZBESCHEINIGUNGEN",Vereinigtes Königreich,2009-12-03
24.00,30.00,"12 ROSE-PEG-PLATZBESCHRÄNKUNGEN",Niederlande,2009-12-04
1.00,1.25,"12 ROSE-PEG-PLATZBESCHRÄNKUNGEN",Vereinigtes Königreich,2009-12-03
40.00,278.00,"15CM CHRISTMAS GLAS BALL 20 LICHTE",Vereinigtes Königreich,2009-12-01
9.00,62.55,"15CM CHRISTMAS GLAS BALL 20 LICHTE",Vereinigtes Königreich,2009-12-02
14.00,97.30,"15CM CHRISTMAS GLAS BALL 20 LICHTE",Vereinigtes Königreich,2009-12-03
10.00,69.50,"15CM CHRISTMAS GLAS BALL 20 LICHTE",Vereinigtes Königreich,2009-12-04
2.00,13.90,"15CM CHRISTMAS GLAS BALL 20 LICHTE",Vereinigtes Königreich,2009-12-05
3.00,3.75,"200 RED + WHITE BENDY STRAWS",Vereinigtes Königreich,2009-12-01
13.00,16.25,"200 RED + WHITE BENDY STRAWS",Vereinigtes Königreich,2009-12-02
2.00,2.50,"200 RED + WHITE BENDY STRAWS",Vereinigtes Königreich,2009-12-04
6.00,17.70,"2 DAISIES HAIR COMB",Vereinigtes Königreich,2009-12-01
12.00,15.00,"2 PICTURE BOOK EGGS ESTER CHICKS",Vereinigtes Königreich,2009-12-04
12.00,15.00,"2 PICTURE BOOK EGGS ESTER DUCKS",Vereinigtes Königreich,2009-12-04
12.00,15.00,"2 PIKTURBUCH EGGS ESTER BUNNY",Vereinigtes Königreich,2009-12-04
4.00,5.00,"36 PENCILS TUBE POSY",Vereinigtes Königreich,2009-12-02
3.00,3.75,"36 PENCILS TUBE POSY",Vereinigtes Königreich,2009-12-03
2.00,2.50,"36 PENCILS TUBE POSY",Vereinigtes Königreich,2009-12-04
16.00,16.96,"36 PENCILS TÜBE RED SPOTTY",Frankreich,2009-12-02
16.00,16.96,"36 PENCILS TÜBE RED SPOTTY",Portugal,2009-12-01
20.00,21.20,"36 PENCILS TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-01
166.00,175.96,"36 PENCILS TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-02
52.00,55.12,"36 PENCILS TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-03
52.00,55.12,"36 PENCILS TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-04
16.00,16.96,"36 PENCILS TÜBE RED SPOTTY",Vereinigtes Königreich,2009-12-05
16.00,20.00,"36 PENCILS TUBE SKULLS",Vereinigtes Königreich,2009-12-01
39.00,48.75,"36 PENCILS TUBE SKULLS",Vereinigtes Königreich,2009-12-03
21.00,26.25,"36 PENCILS TUBE SKULLS",Vereinigtes Königreich,2009-12-04
16.00,20.00,"36 PENCILS TUBE WOODLAND",Frankreich,2009-12-02
5.00,6.25,"36 PENCILS TUBE WOODLAND",Vereinigtes Königreich,2009-12-01
8.00,10.00,"36 PENCILS TUBE WOODLAND",Vereinigtes Königreich,2009-12-02
8.00,10.00,"36 PENCILS TUBE WOODLAND",Vereinigtes Königreich,2009-12-03
18.00,22.50,"36 PENCILS TUBE WOODLAND",Vereinigtes Königreich,2009-12-04
4.00,11.80,"3D DOG PICTURE SPIELT KARTEN",Vereinigtes Königreich,2009-12-02
65.00,191.75,"3D DOG PICTURE SPIELT KARTEN",Vereinigtes Königreich,2009-12-03
1.00,2.95,"3D DOG PICTURE SPIELT KARTEN",Vereinigtes Königreich,2009-12-04
6.00,17.70,"3D DOG PICTURE SPIELT KARTEN",Vereinigtes Königreich,2009-12-05
12.00,35.40,"3D HERZEN HONEYCOMB PAPER GARLAND",Vereinigtes Königreich,2009-12-03
13.00,11.05,"3D SHEET DER KATSTICKER",Vereinigtes Königreich,2009-12-01
8.00,6.80,"3D SHEET DER KATSTICKER",Vereinigtes Königreich,2009-12-02
24.00,20.40,"3D SHEET DER KATSTICKER",Vereinigtes Königreich,2009-12-04
12.00,10.20,"3D SHEET DER KATSTICKER",Vereinigtes Königreich,2009-12-05
15.00,12.75,"3D SHEET DER WELTSTICKER DES MEERES",Vereinigtes Königreich,2009-12-01
12.00,10.20,"3D SHEET DER WELTSTICKER DES MEERES",Vereinigtes Königreich,2009-12-05
27.00,22.95,"3D SHEET VON DOG STICKERS",Vereinigtes Königreich,2009-12-01
4.00,3.40,"3D SHEET VON DOG STICKERS",Vereinigtes Königreich,2009-12-02
25.00,21.25,"3D SHEET VON DOG STICKERS",Vereinigtes Königreich,2009-12-03
12.00,10.20,"3D SHEET VON DOG STICKERS",Vereinigtes Königreich,2009-12-05
4.00,15.24,"3 GARDENIA MORRIS BOXED CANDLES",Vereinigtes Königreich,2009-12-01
24.00,91.44,"3 GARDENIA MORRIS BOXED CANDLES",Vereinigtes Königreich,2009-12-02
